locality_name,uuid,city_name
Old Pallavaram,a27cf0619c4458e941e9,Chennai
Nanakram Guda,9d762fa16edc05a3c1f2,Hyderabad
Pali Hill,253a9e6d95bd85751af1,Mumbai
Kolar,483e717e9b7d00e8e995,Bengaluru
Sector 94,f5fc07e04e2d4dcf3b21,Noida
Domlur Layout,b0f25b0c1edc088e063a,Bengaluru
Annambedu,d140f992cda49bff5097,Chennai
Jawaharlal Nehru University,d0ced522c3086af74807,Noida
Sector 88,1b82980658e1ccb0fcc5,Delhi
Lingadeeranahalli,1c42106b29b530d5e570,Bengaluru
Sector 15 Rohini,137c9397ed8f014e9635,Delhi
Sector 73,f6b6512439a493e2a7e1,Gurgaon
Chromepet,60c45d385bf3e570955a,Chennai
Nadergul,526a2f309462c32b0090,Hyderabad
Ghansoli,767507eb1eba5087fbf5,Mumbai
Panchpota,77fc943065088b06c2be,Kolkata
Sector 23B Dwarka,86179215162aa15ab143,Delhi
Bangalore City Municipal Corporation Layout,b1c3cc3e59170a4447fb,Bengaluru
Bhadreswar,bc1ee25b53ad6845b416,Kolkata
Baidyabati,37dec5cf1fb9155b5d36,Kolkata
Airport Gate No. 3,1ab2d058e0728c761842,Kolkata
Airport Gate No 2,66e659b3bcf4055a9e3b,Kolkata
Ragannaguda,c658d40587515e98dd44,Hyderabad
Navjeevan Vihar,23a103c5bb27d57d418f,Delhi
Amboli,e5cc1f84a68ad754bc2d,Mumbai
Khodiyar,9f0044f9932754d0a67a,Ahmedabad
Acher,f6ac39188232105ed4f9,Ahmedabad
Mitganahalli,68aa9c0aac70e2c25961,Bengaluru
Sidlaghatta,7906148c9dd7ae0176c3,Bengaluru
Hesargatta,bfb016e6ebb007e00f70,Bengaluru
Turkapally,3bd3cfd9265f65a10324,Hyderabad
Totagere,c02f11c95c439309aa0a,Bengaluru
Sector 29,96d1b8076b34416a9484,Gurgaon
Ragavendra Industrial Estate,abeaf4858c87cfd22f19,Bengaluru
Laxmipura,8b338f611f136092e90e,Bengaluru
